week_id,week_label,rule_name,rule_run_id,evaluator_id,evaluator_name,evaluator_state,issue_code,workload_limit,assignments_received,context_note
23,"Mar 2-8","Billing QA",199,25,"Evaluator 25",active,,22,14,
23,"Mar 2-8","Billing QA",199,26,"Evaluator 26",at_risk,EVALUATOR_UNAVAILABLE,23,21,"Time off for 3 days in the week."
23,"Mar 2-8","Billing QA",199,27,"Evaluator 27",active,,24,21,
23,"Mar 2-8","Billing QA",199,28,"Evaluator 28",active,,25,21,
23,"Mar 2-8","Card Disputes QA",200,29,"Evaluator 29",active,,23,17,
23,"Mar 2-8","Card Disputes QA",200,30,"Evaluator 30",active,,24,17,
23,"Mar 2-8","Card Disputes QA",200,31,"Evaluator 31",active,,25,17,
23,"Mar 2-8","Card Disputes QA",200,32,"Evaluator 32",at_risk,EVALUATOR_UNAVAILABLE,20,18,"Time off for 1 days in the week."
23,"Mar 2-8","Card Disputes QA",200,39,"Evaluator 39",at_risk,EVALUATOR_UNAVAILABLE,23,21,"Time off for 2 days in the week."
23,"Mar 2-8","Claims Exception Queue",201,21,"Evaluator 21",active,,21,18,
23,"Mar 2-8","Claims Exception Queue",201,22,"Evaluator 22",idle,ALL_EVALUATORS_AT_CAPACITY,22,0,"Workload limit reached for this evaluator in this rule run."
23,"Mar 2-8","Claims Exception Queue",201,23,"Evaluator 23",active,,23,18,
23,"Mar 2-8","Claims Exception Queue",201,24,"Evaluator 24",active,,24,18,
23,"Mar 2-8","Escalation Sweep - Weekend Priority",202,17,"Evaluator 17",active,,20,15,
23,"Mar 2-8","Escalation Sweep - Weekend Priority",202,18,"Evaluator 18",active,,21,15,
23,"Mar 2-8","Escalation Sweep - Weekend Priority",202,19,"Evaluator 19",active,,22,15,
23,"Mar 2-8","Escalation Sweep - Weekend Priority",202,20,"Evaluator 20",active,,23,15,
23,"Mar 2-8","Escalation Sweep - Weekend Priority",202,38,"Evaluator 38",active,,25,20,
23,"Mar 2-8","Legacy Escalation QA",203,1,"Evaluator 01",active,,22,16,
23,"Mar 2-8","Legacy Escalation QA",203,2,"Evaluator 02",active,,23,16,
23,"Mar 2-8","Legacy Escalation QA",203,3,"Evaluator 03",active,,24,16,
23,"Mar 2-8","Legacy Escalation QA",203,4,"Evaluator 04",at_risk,EVALUATOR_UNAVAILABLE,25,23,"Time off for 2 days in the week."
23,"Mar 2-8","Mortgage Queue",204,5,"Evaluator 05",active,,23,19,
23,"Mar 2-8","Mortgage Queue",204,6,"Evaluator 06",active,,24,19,
23,"Mar 2-8","Mortgage Queue",204,7,"Evaluator 07",active,,25,19,
23,"Mar 2-8","Mortgage Queue",204,8,"Evaluator 08",active,,20,13,
23,"Mar 2-8","Mortgage Queue",204,37,"Evaluator 37",active,,24,16,
23,"Mar 2-8","Onboarding Calls QA",205,33,"Evaluator 33",active,,24,20,
23,"Mar 2-8","Onboarding Calls QA",205,34,"Evaluator 34",active,,25,20,
23,"Mar 2-8","Onboarding Calls QA",205,35,"Evaluator 35",active,,20,14,
23,"Mar 2-8","Onboarding Calls QA",205,36,"Evaluator 36",idle,ALL_EVALUATORS_AT_CAPACITY,21,0,"Workload limit reached for this evaluator in this rule run."
23,"Mar 2-8","Renewals - TL Review Batch",206,9,"Evaluator 09",at_risk,EVALUATOR_UNAVAILABLE,24,22,"Time off for 3 days in the week."
23,"Mar 2-8","Renewals - TL Review Batch",206,10,"Evaluator 10",active,,25,22,
23,"Mar 2-8","Renewals - TL Review Batch",206,11,"Evaluator 11",active,,20,16,
23,"Mar 2-8","Renewals - TL Review Batch",206,12,"Evaluator 12",active,,21,16,
23,"Mar 2-8","Savings Product - QA Rotation",207,13,"Evaluator 13",active,,25,18,
23,"Mar 2-8","Savings Product - QA Rotation",207,14,"Evaluator 14",active,,20,12,
23,"Mar 2-8","Savings Product - QA Rotation",207,15,"Evaluator 15",at_risk,EVALUATOR_UNAVAILABLE,21,19,"Time off for 1 days in the week."
23,"Mar 2-8","Savings Product - QA Rotation",207,16,"Evaluator 16",active,,22,19,
22,"Feb 23-Mar 1","Billing QA",190,25,"Evaluator 25",active,,22,19,
22,"Feb 23-Mar 1","Billing QA",190,26,"Evaluator 26",active,,23,23,
22,"Feb 23-Mar 1","Billing QA",190,27,"Evaluator 27",active,,24,23,
22,"Feb 23-Mar 1","Billing QA",190,28,"Evaluator 28",active,,25,23,
22,"Feb 23-Mar 1","Card Disputes QA",191,29,"Evaluator 29",active,,23,20,
22,"Feb 23-Mar 1","Card Disputes QA",191,30,"Evaluator 30",active,,24,24,
22,"Feb 23-Mar 1","Card Disputes QA",191,31,"Evaluator 31",active,,25,24,
22,"Feb 23-Mar 1","Card Disputes QA",191,32,"Evaluator 32",active,,20,18,
22,"Feb 23-Mar 1","Card Disputes QA",191,39,"Evaluator 39",active,,23,22,
