week_id,week_label,week_state,mode,start_date,end_date,rule_run_id,rule_id,rule_name,rule_type,run_kind,status,expected_assignments,assigned_assignments,coverage_pct,ran_at,next_run_at,sampling_start_date,sampling_end_date
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,199,7,"Billing QA",agent_evaluation,predicted,at_risk,91,86,94.5,,"2026-03-04 15:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,200,8,"Card Disputes QA",agent_evaluation,predicted,on_track,63,63,100.0,,"2026-03-05 08:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,201,6,"Claims Exception Queue",agent_evaluation,predicted,on_track,84,84,100.0,,"2026-03-03 14:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,202,5,"Escalation Sweep - Weekend Priority",agent_evaluation,predicted,on_track,77,77,100.0,,"2026-03-02 13:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,203,1,"Legacy Escalation QA",agent_evaluation,predicted,on_track,84,84,100.0,,"2026-03-04 09:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,204,2,"Mortgage Queue",agent_evaluation,predicted,at_risk,91,84,92.3,,"2026-03-05 10:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,205,9,"Onboarding Calls QA",agent_evaluation,predicted,on_track,70,70,100.0,,"2026-03-06 09:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,206,3,"Renewals - TL Review Batch",agent_evaluation,predicted,on_track,63,63,100.0,,"2026-03-06 11:00:00",2026-02-23,2026-03-01
23,"Mar 2-8",upcoming,predicted,2026-03-02,2026-03-08,207,4,"Savings Product - QA Rotation",agent_evaluation,predicted,on_track,70,70,100.0,,"2026-03-07 12:00:00",2026-02-23,2026-03-01
22,"Feb 23-Mar 1",in_progress,actual,2026-02-23,2026-03-01,190,7,"Billing QA",agent_evaluation,actual,success,78,78,100.0,"2026-02-27 15:00:00",,2026-02-16,2026-02-22
22,"Feb 23-Mar 1",in_progress,actual,2026-02-23,2026-03-01,191,8,"Card Disputes QA",agent_evaluation,actual,success,85,85,100.0,"2026-02-23 16:00:00",,2026-02-16,2026-02-22
